site,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,winner
,nrmse,Adj R2,nobs,y range,f value,f p value,dep sites,reg params,nrmse,Adj R2,nobs,y range,f value,f p value,dep sites,reg params,nrmse,Adj R2,nobs,y range,f value,f p value,dep sites,reg params,
65120,7.17729,0.848,34.0,29.2904,185.519,0.0,['65905'],"[-0.32107, 1.43208]",2.46624,0.905,30.0,8.5054,139.402,0.0,"['165131', '65905']","[-0.42958, 0.76008, 1.35009]",1.45666,0.932,32.0,29.2904,142.665,0.0,"['64634', '65102', '65905']","[0.7252, 1.1437, -1.31322, 1.43614]",1
