site,nrmse,Adj R2,nobs,y range,f value,f p value,dep sites,reg params
BV24/0023,-0.03845,0.793,88.0,5.4079999923706055,334.099,0.0,['BV24/0024'],"[-4.69169, 0.76625]"
BV24/0024,-0.02362,0.954,65.0,5.349000930786133,1342.218,0.0,['M33/0394'],"[8.472, 0.55134]"
